epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.396,1.90122,2.21245,1.58702,0.66433,0.57701,0.62493,0.2576,1.9276,2.07959,1.71112,0.000660256,0.000660256,0.000660256
2,680.544,1.81812,1.59353,1.50952,0.64738,0.64618,0.60223,0.25361,1.95412,2.9112,1.92144,0.00128313,0.00128313,0.00128313
3,1020.87,1.79784,1.4494,1.52856,0.61697,0.56949,0.5677,0.22479,2.08811,2.75863,2.10035,0.00186201,0.00186201,0.00186201
4,1358.8,1.78156,1.34558,1.51753,0.44309,0.48036,0.38039,0.14306,2.20623,2.28496,2.04487,0.001802,0.001802,0.001802
5,1698.55,1.75513,1.2921,1.50661,0.71677,0.68731,0.72179,0.33333,1.9013,1.37371,1.8152,0.001736,0.001736,0.001736
6,2036.49,1.73527,1.26253,1.49161,0.68877,0.70997,0.68305,0.3177,1.8708,1.33063,1.80387,0.00167,0.00167,0.00167
7,2376.99,1.73382,1.21675,1.48746,0.72002,0.64874,0.66822,0.27336,2.06331,1.36393,1.95654,0.001604,0.001604,0.001604
8,2712.07,1.71975,1.1845,1.48205,0.75676,0.65559,0.71792,0.33042,1.92876,1.29833,1.87424,0.001538,0.001538,0.001538
9,3047.29,1.69681,1.18488,1.47433,0.73267,0.67221,0.71991,0.32217,1.93625,1.32256,1.89009,0.001472,0.001472,0.001472
10,3376.1,1.70149,1.17414,1.48025,0.73575,0.64502,0.6786,0.29099,2.02395,1.33706,1.94125,0.001406,0.001406,0.001406
11,3707.21,1.68003,1.14745,1.46908,0.7398,0.65408,0.71559,0.32717,1.88145,1.25768,1.83116,0.00134,0.00134,0.00134
12,4035.89,1.69662,1.16512,1.47909,0.73691,0.6994,0.71632,0.33168,1.9295,1.25771,1.88827,0.001274,0.001274,0.001274
13,4366.92,1.64199,1.13711,1.43691,0.71074,0.68295,0.70983,0.33609,1.89975,1.34957,1.85657,0.001208,0.001208,0.001208
14,4694.95,1.6509,1.14055,1.46227,0.68159,0.70091,0.70068,0.32167,1.90287,1.24854,1.87127,0.001142,0.001142,0.001142
15,5026.71,1.63913,1.12086,1.45231,0.74724,0.65861,0.70698,0.31566,1.97196,1.22725,1.94229,0.001076,0.001076,0.001076
16,5359,1.6298,1.09155,1.4339,0.68755,0.67372,0.68239,0.29723,1.9697,1.30764,1.90757,0.00101,0.00101,0.00101
17,5691.1,1.61564,1.07773,1.42927,0.69009,0.69486,0.70146,0.31052,2.00021,1.21118,1.96073,0.000944,0.000944,0.000944
18,6023.89,1.60803,1.06064,1.42803,0.7371,0.67763,0.72488,0.35011,1.84824,1.14341,1.82102,0.000878,0.000878,0.000878
19,6357.02,1.59719,1.08532,1.42768,0.706,0.7145,0.72727,0.3623,1.83362,1.17686,1.8053,0.000812,0.000812,0.000812
20,6689.3,1.58738,1.05028,1.42378,0.70143,0.68731,0.70088,0.33497,1.88231,1.25189,1.84139,0.000746,0.000746,0.000746
21,7019.75,1.58339,1.01878,1.47151,0.74138,0.68278,0.715,0.3513,1.85158,1.1548,1.82537,0.00068,0.00068,0.00068
22,7350.51,1.57418,1.01953,1.46295,0.72703,0.66163,0.70352,0.33692,1.89996,1.31223,1.88437,0.000614,0.000614,0.000614
23,7678.77,1.55817,0.9846,1.45562,0.74608,0.68278,0.72113,0.3373,1.88376,1.15312,1.8607,0.000548,0.000548,0.000548
24,8011.05,1.54011,0.96414,1.45226,0.71807,0.68278,0.70379,0.33586,1.9051,1.23429,1.88519,0.000482,0.000482,0.000482
25,8340.79,1.54407,0.96455,1.44723,0.7172,0.70871,0.73135,0.34718,1.89384,1.12736,1.86336,0.000416,0.000416,0.000416
26,8665.55,1.51946,0.95426,1.42566,0.68914,0.70997,0.70434,0.32434,1.93506,1.23485,1.91205,0.00035,0.00035,0.00035
27,8995.84,1.51826,0.94655,1.43489,0.73096,0.68129,0.72378,0.3516,1.83326,1.1723,1.81504,0.000284,0.000284,0.000284
28,9326.11,1.50968,0.93409,1.42697,0.73245,0.66993,0.71981,0.33573,1.90727,1.18776,1.88354,0.000218,0.000218,0.000218
29,9673.46,1.51083,0.94892,1.43567,0.70289,0.70544,0.72085,0.34785,1.86218,1.1823,1.86371,0.000152,0.000152,0.000152
30,10328.7,1.49358,0.91524,1.41693,0.73084,0.6858,0.73292,0.35741,1.85223,1.1512,1.84212,8.6e-05,8.6e-05,8.6e-05
